Method,Dataset,Accuracy (R@1),Accuracy (R@5),Accuracy (R@10),Extraction Latency CPU (ms),Extraction Latency GPU (ms),Matching Latency (ms),Model Memory (MB),DB Memory (MB)
CosPlaces-D128,SVOX-night,32.32,51.88,61.73,,3.33,0.18,90.88,8.38
CosPlaces-D128,MSLS,81.09,88.70,90.80,,3.39,0.19,90.88,9.21
CosPlaces-D128,Pitts30k,89.45,94.91,96.13,,3.46,0.10,90.88,4.88
CosPlaces-D128,Essex3in1,79.05,96.67,98.57,,3.31,0.00,90.88,0.10
CosPlaces-D128,Tokyo247,74.60,86.03,89.52,,3.32,1.84,90.88,37.10
CosPlaces-D128,Nordland,36.01,51.92,58.66,,3.35,0.30,90.88,13.47
CosPlaces-D128,SPED,100.00,100.00,100.00,,3.37,0.01,90.88,0.30
CosPlaces-D512,SVOX-sun,72.83,87.94,91.33,,3.33,1.47,93.88,33.53
CosPlaces-D512,SVOX-rain,84.74,93.70,95.30,,3.31,1.52,93.88,33.53
CosPlaces-D512,SVOX-snow,87.93,96.09,96.78,,3.38,1.63,93.88,33.53
CosPlaces-D512,SVOX-overcast,88.88,95.76,96.67,,3.45,1.47,93.88,33.53
CosPlaces-D512,SVOX-night,49.94,66.59,74.73,,3.41,1.48,93.88,33.53
CosPlaces-D512,MSLS,83.28,89.98,91.88,,3.37,1.72,93.88,36.86
CosPlaces-D512,Pitts30k,90.23,95.01,96.23,,3.40,0.52,93.88,19.53
CosPlaces-D512,Essex3in1,84.76,98.10,99.05,,3.33,0.01,93.88,0.41
CosPlaces-D512,Tokyo247,84.44,91.43,94.92,,3.30,7.84,93.88,148.41
CosPlaces-D512,Nordland,37.14,52.86,58.12,,3.38,2.47,93.88,53.89
CosPlaces-D512,SPED,100.00,100.00,100.00,,3.34,0.03,93.88,1.19
CosPlaces-D1024,SVOX-sun,76.35,87.24,90.52,,3.28,3.66,97.88,67.05
